 -- GSCTelescope::buildTelescope, prtMAPMT 
               all distances in centimeters
        kMAPMTWidth / kMAPMTLength 5.2  /  3.27
        i   j     dx        dy      dz    r
      -7   -2      -36.4     -10.4     -2.07738     37.8566
      -7   -1      -36.4     -5.2     -1.96293     36.7696
      -7   0      -36.4     0     -1.9247     36.4
      -7   1      -36.4     5.2     -1.96293     36.7696
      -7   2      -36.4     10.4     -2.07738     37.8566
      -6   -4      -31.2     -20.8     -2.03927     37.4977
      -6   -3      -31.2     -15.6     -1.77135     34.8827
      -6   -2      -31.2     -10.4     -1.57873     32.8877
      -6   -1      -31.2     -5.2     -1.46265     31.6304
      -6   0      -31.2     0     -1.42387     31.2
      -6   1      -31.2     5.2     -1.46265     31.6304
      -6   2      -31.2     10.4     -1.57873     32.8877
      -6   3      -31.2     15.6     -1.77135     34.8827
      -6   4      -31.2     20.8     -2.03927     37.4977
      -5   -5      -26     -26     -1.96293     36.7696
      -5   -4      -26     -20.8     -1.61733     33.2962
      -5   -3      -26     -15.6     -1.34619     30.3209
      -5   -2      -26     -10.4     -1.15126     28.0029
      -5   -1      -26     -5.2     -1.0338     26.5149
      -5   0      -26     0     -0.99456     26
      -5   1      -26     5.2     -1.0338     26.5149
      -5   2      -26     10.4     -1.15126     28.0029
      -5   3      -26     15.6     -1.34619     30.3209
      -5   4      -26     20.8     -1.61733     33.2962
      -5   5      -26     26     -1.96293     36.7696
      -4   -6      -20.8     -31.2     -2.03927     37.4977
      -4   -5      -20.8     -26     -1.61733     33.2962
      -4   -4      -20.8     -20.8     -1.26834     29.4156
      -4   -3      -20.8     -15.6     -0.99456     26
      -4   -2      -20.8     -10.4     -0.797743     23.2551
      -4   -1      -20.8     -5.2     -0.67915     21.4401
      -4   0      -20.8     0     -0.639535     20.8
      -4   1      -20.8     5.2     -0.67915     21.4401
      -4   2      -20.8     10.4     -0.797743     23.2551
      -4   3      -20.8     15.6     -0.99456     26
      -4   4      -20.8     20.8     -1.26834     29.4156
      -4   5      -20.8     26     -1.61733     33.2962
      -4   6      -20.8     31.2     -2.03927     37.4977
      -3   -6      -15.6     -31.2     -1.77135     34.8827
      -3   -5      -15.6     -26     -1.34619     30.3209
      -3   -4      -15.6     -20.8     -0.99456     26
      -3   -3      -15.6     -15.6     -0.718723     22.0617
      -3   -2      -15.6     -10.4     -0.520439     18.7489
      -3   -1      -15.6     -5.2     -0.400966     16.4438
      -3   0      -15.6     0     -0.361058     15.6
      -3   1      -15.6     5.2     -0.400966     16.4438
      -3   2      -15.6     10.4     -0.520439     18.7489
      -3   3      -15.6     15.6     -0.718723     22.0617
      -3   4      -15.6     20.8     -0.99456     26
      -3   5      -15.6     26     -1.34619     30.3209
      -3   6      -15.6     31.2     -1.77135     34.8827
      -2   -7      -10.4     -36.4     -2.07738     37.8566
      -2   -6      -10.4     -31.2     -1.57873     32.8877
      -2   -5      -10.4     -26     -1.15126     28.0029
      -2   -4      -10.4     -20.8     -0.797743     23.2551
      -2   -3      -10.4     -15.6     -0.520439     18.7489
      -2   -2      -10.4     -10.4     -0.321108     14.7078
      -2   -1      -10.4     -5.2     -0.201007     11.6276
      -2   0      -10.4     0     -0.160889     10.4
      -2   1      -10.4     5.2     -0.201007     11.6276
      -2   2      -10.4     10.4     -0.321108     14.7078
      -2   3      -10.4     15.6     -0.520439     18.7489
      -2   4      -10.4     20.8     -0.797743     23.2551
      -2   5      -10.4     26     -1.15126     28.0029
      -2   6      -10.4     31.2     -1.57873     32.8877
      -2   7      -10.4     36.4     -2.07738     37.8566
      -1   -7      -5.2     -36.4     -1.96293     36.7696
      -1   -6      -5.2     -31.2     -1.46265     31.6304
      -1   -5      -5.2     -26     -1.0338     26.5149
      -1   -4      -5.2     -20.8     -0.67915     21.4401
      -1   -3      -5.2     -15.6     -0.400966     16.4438
      -1   -2      -5.2     -10.4     -0.201007     11.6276
      -1   -1      -5.2     -5.2     -0.0805284     7.35391
      -1   0      -5.2     0     -0.0402852     5.2
      -1   1      -5.2     5.2     -0.0805284     7.35391
      -1   2      -5.2     10.4     -0.201007     11.6276
      -1   3      -5.2     15.6     -0.400966     16.4438
      -1   4      -5.2     20.8     -0.67915     21.4401
      -1   5      -5.2     26     -1.0338     26.5149
      -1   6      -5.2     31.2     -1.46265     31.6304
      -1   7      -5.2     36.4     -1.96293     36.7696
      0   -7      0     -36.4     -1.9247     36.4
      0   -6      0     -31.2     -1.42387     31.2
      0   -5      0     -26     -0.99456     26
      0   -4      0     -20.8     -0.639535     20.8
      0   -3      0     -15.6     -0.361058     15.6
      0   -2      0     -10.4     -0.160889     10.4
      0   -1      0     -5.2     -0.0402852     5.2
      0   0      0     0     0     0
      0   1      0     5.2     -0.0402852     5.2
      0   2      0     10.4     -0.160889     10.4
      0   3      0     15.6     -0.361058     15.6
      0   4      0     20.8     -0.639535     20.8
      0   5      0     26     -0.99456     26
      0   6      0     31.2     -1.42387     31.2
      0   7      0     36.4     -1.9247     36.4
      1   -7      5.2     -36.4     -1.96293     36.7696
      1   -6      5.2     -31.2     -1.46265     31.6304
      1   -5      5.2     -26     -1.0338     26.5149
      1   -4      5.2     -20.8     -0.67915     21.4401
      1   -3      5.2     -15.6     -0.400966     16.4438
      1   -2      5.2     -10.4     -0.201007     11.6276
      1   -1      5.2     -5.2     -0.0805284     7.35391
      1   0      5.2     0     -0.0402852     5.2
      1   1      5.2     5.2     -0.0805284     7.35391
      1   2      5.2     10.4     -0.201007     11.6276
      1   3      5.2     15.6     -0.400966     16.4438
      1   4      5.2     20.8     -0.67915     21.4401
      1   5      5.2     26     -1.0338     26.5149
      1   6      5.2     31.2     -1.46265     31.6304
      1   7      5.2     36.4     -1.96293     36.7696
      2   -7      10.4     -36.4     -2.07738     37.8566
      2   -6      10.4     -31.2     -1.57873     32.8877
      2   -5      10.4     -26     -1.15126     28.0029
      2   -4      10.4     -20.8     -0.797743     23.2551
      2   -3      10.4     -15.6     -0.520439     18.7489
      2   -2      10.4     -10.4     -0.321108     14.7078
      2   -1      10.4     -5.2     -0.201007     11.6276
      2   0      10.4     0     -0.160889     10.4
      2   1      10.4     5.2     -0.201007     11.6276
      2   2      10.4     10.4     -0.321108     14.7078
      2   3      10.4     15.6     -0.520439     18.7489
      2   4      10.4     20.8     -0.797743     23.2551
      2   5      10.4     26     -1.15126     28.0029
      2   6      10.4     31.2     -1.57873     32.8877
      2   7      10.4     36.4     -2.07738     37.8566
      3   -6      15.6     -31.2     -1.77135     34.8827
      3   -5      15.6     -26     -1.34619     30.3209
      3   -4      15.6     -20.8     -0.99456     26
      3   -3      15.6     -15.6     -0.718723     22.0617
      3   -2      15.6     -10.4     -0.520439     18.7489
      3   -1      15.6     -5.2     -0.400966     16.4438
      3   0      15.6     0     -0.361058     15.6
      3   1      15.6     5.2     -0.400966     16.4438
      3   2      15.6     10.4     -0.520439     18.7489
      3   3      15.6     15.6     -0.718723     22.0617
      3   4      15.6     20.8     -0.99456     26
      3   5      15.6     26     -1.34619     30.3209
      3   6      15.6     31.2     -1.77135     34.8827
      4   -6      20.8     -31.2     -2.03927     37.4977
      4   -5      20.8     -26     -1.61733     33.2962
      4   -4      20.8     -20.8     -1.26834     29.4156
      4   -3      20.8     -15.6     -0.99456     26
      4   -2      20.8     -10.4     -0.797743     23.2551
      4   -1      20.8     -5.2     -0.67915     21.4401
      4   0      20.8     0     -0.639535     20.8
      4   1      20.8     5.2     -0.67915     21.4401
      4   2      20.8     10.4     -0.797743     23.2551
      4   3      20.8     15.6     -0.99456     26
      4   4      20.8     20.8     -1.26834     29.4156
      4   5      20.8     26     -1.61733     33.2962
      4   6      20.8     31.2     -2.03927     37.4977
      5   -5      26     -26     -1.96293     36.7696
      5   -4      26     -20.8     -1.61733     33.2962
      5   -3      26     -15.6     -1.34619     30.3209
      5   -2      26     -10.4     -1.15126     28.0029
      5   -1      26     -5.2     -1.0338     26.5149
      5   0      26     0     -0.99456     26
      5   1      26     5.2     -1.0338     26.5149
      5   2      26     10.4     -1.15126     28.0029
      5   3      26     15.6     -1.34619     30.3209
      5   4      26     20.8     -1.61733     33.2962
      5   5      26     26     -1.96293     36.7696
      6   -4      31.2     -20.8     -2.03927     37.4977
      6   -3      31.2     -15.6     -1.77135     34.8827
      6   -2      31.2     -10.4     -1.57873     32.8877
      6   -1      31.2     -5.2     -1.46265     31.6304
      6   0      31.2     0     -1.42387     31.2
      6   1      31.2     5.2     -1.46265     31.6304
      6   2      31.2     10.4     -1.57873     32.8877
      6   3      31.2     15.6     -1.77135     34.8827
      6   4      31.2     20.8     -2.03927     37.4977
      7   -2      36.4     -10.4     -2.07738     37.8566
      7   -1      36.4     -5.2     -1.96293     36.7696
      7   0      36.4     0     -1.9247     36.4
      7   1      36.4     5.2     -1.96293     36.7696
      7   2      36.4     10.4     -2.07738     37.8566
